SKU,item_group_id,item number,Item Name,Price,Specification,Description,Category,Stock,is it in stock,Is it flash-sale,Is it clearance,Is it best seller,Item Link,Image URL,Image2,Image3,Image4,Image5,Image6,Image7,Image8,is it pre-order
"AP2181","AP2181","24138670","180cm Life Size Human Skeleton Model with Rolling Stand","109.95","Box Qty:1(May vary by batch)Is Assembly Required: Yes Material: PVC (model body); Plastic wheel, iron-chrome bracket Net weight: 8 kg Overall dimension: 54 cm x 54 cm x 177 cm (L×W×H) Height including stand: 180 cm Package includes: 1 × Skeleton model 1 × Skeleton poster 1 × Dust cover","An ideal teaching tool and accessory to support your anatomical learning! Adding a colour poster as a reference supports professional medical studying and research. If you are looking for a human skeleton model like this, do not hesitate to place an order! High Anatomical Correctness with Poster: This human skeleton model uses vivid and clear details to describe and map the human skull, bone structure, sutura, vertebral artery, and nerves with high medical correctness. The anatomical model comes with a colourful poster to help you get the basic idea of human anatomy. Removable and Flexible Parts: The human skeleton has detachable arms & legs & head cap, 3 removable teeth, and a retractable jaw for further anatomical study. And the flexible joints allow you to make different postures on our human skeleton model if you free it from the stand. Realistic Life Size for Medical Research: Modeling 1:1 from a real human skeleton, our anatomical model is an ideal teaching tool and accessory and it is suitable for different occasions. This life size skeleton supports medical research, professional anatomical teaching and studying, as well as an amusing Halloween decoration. Stable Rolling Stand with Brakes: Fixing on a rolling iron-chrome stand with an upright position, this human skeleton is easy to move around between research rooms or classrooms. Equipped with 5 universal casters (2 with brakes), you can keep the stand stably in position. Premium Medical Quality: Constructed with high-quality PVC material, the skeleton model is capable of withstanding a great amount of using time. And the stand is made of rust-proof iron-chrome pipe to expand the lifespan for sure. It can be hand washed for easy cleaning.","Decor > Holiday Decor > Halloween","127","1","0","0","0","https://www.costway.co.uk/180cm-life-size-human-skeleton-model-with-rolling-stand.html?ff=4&fp=20&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/1/8/180cm_life_size_human_skeleton_model_with_rolling_stand.jpg","http://www.costway.co.uk/media/catalog/product/a/p/ap2181_9.jpg","http://www.costway.co.uk/media/catalog/product/a/p/ap2181_10.jpg","http://www.costway.co.uk/media/catalog/product/1/8/180cm_life_size_human_skeleton_model_with_rolling_stand.jpg","http://www.costway.co.uk/media/catalog/product/a/p/ap2181_11.jpg","http://www.costway.co.uk/media/catalog/product/a/p/ap2181_12.jpg","http://www.costway.co.uk/media/catalog/product/a/p/ap2181_7.jpg","http://www.costway.co.uk/media/catalog/product/a/p/ap2181_2.jpg","0"
"ES10279GB-BK","ES10279GB-BK","25780463","XXL 90 x 23cm Electric Barbecue Teppanyaki Table Griddle","54.95","Colour: Black Size : 90 cm x 23 cm (L x W) Grill thickness: 2.3 mm Length of wire: 0.9 m UK standard plug Non-stick grill plate Box Qty:1(May vary by batch)Is Assembly Required: YesPackage includes: 1 x Electric grill 6 x Spatulas 2 x Metal rings","HEALTHIER and LOW-FAT EATING: Do you worry about too much fat you are eating when enjoying BBQ food? The table grill can solve it. As the surface is non-stick, the benefit is you can cook with little oil or no oil, and any grease which may come from your food when cooking started will be drained into the drip tray, making eating healthier and cleaning easier. JOIN IN COOKING TOGETHER: The surface area of this grill measures 90 x 23cm, large enough to cook a meal for home entertaining and friend gatherings, besides, it is supplied with 8 free wooden spatulas and 2 egg rings, each person can enjoy a happy cooking experience at dinner time! ADJUSTABLE TEMPERATURE: We believe everyone will become a good cook if you own this grill, as the electric table grill owns 5 temperature settings by controlling the adjustable thermostat, so that you can choose the most suitable temperature to cook various foods to the best result, such as beef, chicken, fish, vegetables, etc. INSULATED HANDLES and NON-SLIP FEET: There are 2 handles on each side with insulated cover for convenient moving but not burning your hands, and the teppanyaki table grill is equipped with 4 non-slip feet, it does not touch your table directly, so it is perfect for any flat surface but not melt them. ENJOY DELICIOUS BBQ FOODS ANYWHERE: The portable electric XXL teppanyaki table grill is not only great for family cooking, indoor BBQs, and dinner parties but also suitable for camping, caravanning and self-catering holidays, and the power cord is detachable, then you can take it to anywhere conveniently.","Kitchen > Cookware & Bakeware","371","1","0","0","0","https://www.costway.co.uk/xxl-90-23cm-electric-teppanyaki-table-grill-griddle-bbq-hot-plate-barbecue-2000w.html?ff=4&fp=301&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/e/ES10279GB-BK/90_23cm_Electric_Barbecue_Teppanyaki_Table_Griddle-3.jpg","http://www.costway.co.uk/media/catalog/product/e/ES10279GB-BK/90_23cm_Electric_Barbecue_Teppanyaki_Table_Griddle-1.jpg","http://www.costway.co.uk/media/catalog/product/e/ES10279GB-BK/90_23cm_Electric_Barbecue_Teppanyaki_Table_Griddle-2.jpg","http://www.costway.co.uk/media/catalog/product/e/ES10279GB-BK/90_23cm_Electric_Barbecue_Teppanyaki_Table_Griddle-3.jpg","http://www.costway.co.uk/media/catalog/product/e/ES10279GB-BK/90_23cm_Electric_Barbecue_Teppanyaki_Table_Griddle-4.jpg","http://www.costway.co.uk/media/catalog/product/e/ES10279GB-BK/90_23cm_Electric_Barbecue_Teppanyaki_Table_Griddle-5.jpg","http://www.costway.co.uk/media/catalog/product/e/ES10279GB-BK/90_23cm_Electric_Barbecue_Teppanyaki_Table_Griddle-6.jpg","http://www.costway.co.uk/media/catalog/product/e/ES10279GB-BK/90_23cm_Electric_Barbecue_Teppanyaki_Table_Griddle-7.jpg","0"
"CM19733","CM19733CM19736","56431078","5/6/7/8 Feet White Artificial Christmas Tree with Metal Stand-5 ft","24.95","Colour: White Material: PVC, metal Tree height: 150 cm Number of tips: 350 Net weight: 2 kg Box Qty:1(May vary by batch)Package includes: 1 x Christmas tree 1 x Instruction manual","Are you looking forward to the upcoming winter season? This white Christmas tree is a great decoration to create a festive atmosphere! The Christmas tree features a collapsible design, which means the branches are attached directly to the tree, making it easier for you to assemble your tree with less effort. This artificial Christmas tree features 350/ 650/ 950/ 1138 beautiful tips that give it a full and realistic look. The sturdy metal stand and PVC plastic leaves are suitable for long-lasting use and allow you to place it indoors or outdoors, such as in a shop, office, living room, balcony or porch. Make your Christmas dream come true on any occasion! Elegant White Christmas Tree: This Christmas tree is pure white, which stands out from the traditional green Christmas trees. This elegant Christmas tree makes a beautiful backdrop for a winter wonderland. It suits both indoor and outdoor spaces and adds more excitement to your life. Flame-resistant and fluffy branches: The leaves of this Christmas tree are made of high-quality PVC material, flame retardant and odourless for unforgettable Christmas with peace of mind and joy. With 350/ 650/ 950/ 1138 branch tips that make the tree look more real and full, the Christmas tree mimics a full fir tree for a lively look. Easy to set up and store: It only takes a few minutes to set up and take down the Christmas tree, saving you time and effort. The collapsible composition can not only expand easily and makes the branches fluffy and lush. The Christmas tree can also be disassembled into several foldable parts for easy storage. Solid Metal Base: Thanks to the upright tree style in a lightweight size, the sturdy metal base is provided to give greater support. The metal base is designed to keep the tree stand tall and from tipping and tripping over the years. The plastic feet add stability and prevent scratches on the floor. Great Holiday Decoration: The artificial Christmas tree has a charming white color to give you romantic winter feelings. You can decorate the branches with Christmas ornaments as you like to spend quality time with your family and create great memories. It creates a festive atmosphere for Halloween, weddings, Valentine's Day, Christmas and other occasions.","Decor > Holiday Decor > Christmas > Christmas Tree","72","1","0","0","0","https://www.costway.co.uk/5-6-7-8-feet-white-artificial-christmas-tree-with-metal-stand-5-ft.html?ff=4&fp=407&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/c/m/cm19733_1__3.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19733_2__2.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19733_3__3.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19733_1__3.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19733_12__1.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19733_6__3.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19733_4__3.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19733_5__3.jpg","0"
"CM19734","CM19733CM19736","56431078","5/6/7/8 Feet White Artificial Christmas Tree with Metal Stand-6 ft","26.95","Colour: White Material: PVC, metal Tree height: 180 cm Number of tips: 650 Net weight: 3 kg Box Qty:1(May vary by batch)Package includes: 1 x Christmas tree 1 x Instruction manual","Are you looking forward to the upcoming winter season? This white Christmas tree is a great decoration to create a festive atmosphere! The Christmas tree features a collapsible design, which means the branches are attached directly to the tree, making it easier for you to assemble your tree with less effort. This artificial Christmas tree features 350/ 650/ 950/ 1138 beautiful tips that give it a full and realistic look. The sturdy metal stand and PVC plastic leaves are suitable for long-lasting use and allow you to place it indoors or outdoors, such as in a shop, office, living room, balcony or porch. Make your Christmas dream come true on any occasion! Elegant White Christmas Tree: This Christmas tree is pure white, which stands out from the traditional green Christmas trees. This elegant Christmas tree makes a beautiful backdrop for a winter wonderland. It suits both indoor and outdoor spaces and adds more excitement to your life. Flame-resistant and fluffy branches: The leaves of this Christmas tree are made of high-quality PVC material, flame retardant and odourless for unforgettable Christmas with peace of mind and joy. With 350/ 650/ 950/ 1138 branch tips that make the tree look more real and full, the Christmas tree mimics a full fir tree for a lively look. Easy to set up and store: It only takes a few minutes to set up and take down the Christmas tree, saving you time and effort. The collapsible composition can not only expand easily and makes the branches fluffy and lush. The Christmas tree can also be disassembled into several foldable parts for easy storage. Solid Metal Base: Thanks to the upright tree style in a lightweight size, the sturdy metal base is provided to give greater support. The metal base is designed to keep the tree stand tall and from tipping and tripping over the years. The plastic feet add stability and prevent scratches on the floor. Great Holiday Decoration: The artificial Christmas tree has a charming white color to give you romantic winter feelings. You can decorate the branches with Christmas ornaments as you like to spend quality time with your family and create great memories. It creates a festive atmosphere for Halloween, weddings, Valentine's Day, Christmas and other occasions.","Decor > Holiday Decor > Christmas > Christmas Tree","0","0","0","0","0","https://www.costway.co.uk/5-6-7-8-feet-white-artificial-christmas-tree-with-metal-stand-6-ft.html?ff=4&fp=408&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/c/m/cm19734_1_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19734_4_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19734_7_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19734_1_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19734_6_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19734_10_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19734_2_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19734_5_.jpg","0"
"CM19735","CM19733CM19736","56431078","5/6/7/8 Feet White Artificial Christmas Tree with Metal Stand-7 ft","44.95","Colour: White Material: PVC, metal Tree height: 210 cm Number of tips: 950 Net weight: 4.5 kg Box Qty:1(May vary by batch)Package includes: 1 x Christmas tree 1 x Instruction manual","Are you looking forward to the upcoming winter season? This white Christmas tree is a great decoration to create a festive atmosphere! The Christmas tree features a collapsible design, which means the branches are attached directly to the tree, making it easier for you to assemble your tree with less effort. This artificial Christmas tree features 350/ 650/ 950/ 1138 beautiful tips that give it a full and realistic look. The sturdy metal stand and PVC plastic leaves are suitable for long-lasting use and allow you to place it indoors or outdoors, such as in a shop, office, living room, balcony or porch. Make your Christmas dream come true on any occasion! Elegant White Christmas Tree: This Christmas tree is pure white, which stands out from the traditional green Christmas trees. This elegant Christmas tree makes a beautiful backdrop for a winter wonderland. It suits both indoor and outdoor spaces and adds more excitement to your life. Flame-resistant and fluffy branches: The leaves of this Christmas tree are made of high-quality PVC material, flame retardant and odourless for unforgettable Christmas with peace of mind and joy. With 350/ 650/ 950/ 1138 branch tips that make the tree look more real and full, the Christmas tree mimics a full fir tree for a lively look. Easy to set up and store: It only takes a few minutes to set up and take down the Christmas tree, saving you time and effort. The collapsible composition can not only expand easily and makes the branches fluffy and lush. The Christmas tree can also be disassembled into several foldable parts for easy storage. Solid Metal Base: Thanks to the upright tree style in a lightweight size, the sturdy metal base is provided to give greater support. The metal base is designed to keep the tree stand tall and from tipping and tripping over the years. The plastic feet add stability and prevent scratches on the floor. Great Holiday Decoration: The artificial Christmas tree has a charming white color to give you romantic winter feelings. You can decorate the branches with Christmas ornaments as you like to spend quality time with your family and create great memories. It creates a festive atmosphere for Halloween, weddings, Valentine's Day, Christmas and other occasions.","Decor > Holiday Decor > Christmas > Christmas Tree","201","1","0","0","0","https://www.costway.co.uk/5-6-7-8-feet-white-artificial-christmas-tree-with-metal-stand-7-ft.html?ff=4&fp=409&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/c/m/cm19735_1_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19735_12_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19735_6_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19735_1_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19735_5_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19735_9_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19735_2_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19735_3_.jpg","0"
"CM19736","CM19733CM19736","56431078","5/6/7/8 Feet White Artificial Christmas Tree with Metal Stand-8 ft","37.95","Colour: White Material: PVC, metal Tree height: 240 cm Number of tips: 1138 Net weight: 5.5 kg Box Qty:1(May vary by batch)Package includes: 1 x Christmas tree 1 x Instruction manual","Are you looking forward to the upcoming winter season? This white Christmas tree is a great decoration to create a festive atmosphere! The Christmas tree features a collapsible design, which means the branches are attached directly to the tree, making it easier for you to assemble your tree with less effort. This artificial Christmas tree features 350/ 650/ 950/ 1138 beautiful tips that give it a full and realistic look. The sturdy metal stand and PVC plastic leaves are suitable for long-lasting use and allow you to place it indoors or outdoors, such as in a shop, office, living room, balcony or porch. Make your Christmas dream come true on any occasion! Elegant White Christmas Tree: This Christmas tree is pure white, which stands out from the traditional green Christmas trees. This elegant Christmas tree makes a beautiful backdrop for a winter wonderland. It suits both indoor and outdoor spaces and adds more excitement to your life. Flame-resistant and fluffy branches: The leaves of this Christmas tree are made of high-quality PVC material, flame retardant and odourless for unforgettable Christmas with peace of mind and joy. With 350/ 650/ 950/ 1138 branch tips that make the tree look more real and full, the Christmas tree mimics a full fir tree for a lively look. Easy to set up and store: It only takes a few minutes to set up and take down the Christmas tree, saving you time and effort. The collapsible composition can not only expand easily and makes the branches fluffy and lush. The Christmas tree can also be disassembled into several foldable parts for easy storage. Solid Metal Base: Thanks to the upright tree style in a lightweight size, the sturdy metal base is provided to give greater support. The metal base is designed to keep the tree stand tall and from tipping and tripping over the years. The plastic feet add stability and prevent scratches on the floor. Great Holiday Decoration: The artificial Christmas tree has a charming white color to give you romantic winter feelings. You can decorate the branches with Christmas ornaments as you like to spend quality time with your family and create great memories. It creates a festive atmosphere for Halloween, weddings, Valentine's Day, Christmas and other occasions.","Decor > Holiday Decor > Christmas > Christmas Tree","107","1","0","0","0","https://www.costway.co.uk/5-6-7-8-feet-white-artificial-christmas-tree-with-metal-stand-8-ft.html?ff=4&fp=410&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/c/m/cm19736_2_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19736_1_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19736_7_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19736_2_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19736_6_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19736_10_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19736_3_.jpg","http://www.costway.co.uk/media/catalog/product/c/m/cm19736_4_.jpg","0"
"GT2914GN","GT2914","73491605","63L Heavy-Duty Garden Grass Roller with U-shaped Handle-Green","89.95","Colour: Green Material: Galvanized steel Dimensions:&nbsp; Garden roller: 90 cm width. 30 cm diameter steel drum Weight:&nbsp; Approx net weight: 16 kg&nbsp; Approx weight: 75 kg when filled with water&nbsp; Approx weight: 110 kg when filled with sand Box Qty:1(May vary by batch)","Lawn roller is ideal for erasing lawn damage caused by moles and frost heave. It is made of durable material. So you can use it for a long time. It can also help pack down loose dirt and newly sewn seed or sod for a beautiful lawn. The push / tow roller is a very versatile roller which is small enough to maneuver in tight space and durable enough to be towed behind a tractor to roll larger open space. If you are looking for a such product, do not hesitate to buy it. The roller features handles that fold back for easy storage plus a scraper bar that ensures any loose debris is not rolled back into the lawn Heavy duty,63 l capacity poly roller drum will not dent or rust Rounded roller end caps for a smooth tractor turn without damaging the lawn 90 cm wide steel drum fits larger lawn and helps to improve the work efficiency New arrival,we offer the best price to welcome you to be the witness of our product and service","Outdoor > Garden > Garden Tools > Lawn Care Tools","32","1","0","0","0","https://www.costway.co.uk/fds-heavy-duty-metal-63l-water-sand-filled-garden-for-grass-lawn-roller.html?ff=4&fp=705&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/g/t/gt2914_9_.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2914_9_.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2914gn6_1.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2914gn5_1.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2914gn8_1.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2914gn2_1.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2914gn9_1.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2914gn1_1.jpg","0"
"HB85067","HB85067","56391720","Portable Salon Hood Hairdryer with Stand","134.95","Colour: Black Voltage: 220V Power:1300 W Diameter of 5-Leg: 63cm Main material:&nbsp;PP, ABS, Iron Timer: 0-60 minutes per session Adjustable height: From 125 to 160CM Adjustable temperature From 40 to 75℃ Box Qty:1(May vary by batch)Is Assembly Required: YesPackage includes: 1 x Professional hair dryer 1 x Instruction manual Warning: Do not put your head in the enclosure; Keep the distance of head and&nbsp;enclosure&nbsp;over 20cm; Long hair must be wrapped&nbsp; in a towel while drying","This hairdryer is a good hair styling tool. Suitable in drying, colouring, perming and conditioning hair, it features a 5 legged base with 5 swivel wheels, which keeps this hair dryer stable whilst allowing you to move it effortlessly. Both the temperature and height can also be adjusted to suit your customer. Do not hesitate to buy it. 60 minute timer function Adjustable height & temperature Easy to operate and assemble Designed to work with a low noise output Adjustable positioned helmet with opening door 5 legged base for stability 5 swivel wheel for effortless manoeuvrability A good hairdressing tool for drying, colouring, perming and conditioning hair CE certification","Health & Beauty > Massage & Relaxation > Spa & Salon","56","1","0","0","1","https://www.costway.co.uk/portable-hairdryer-stand-professional-hair-dryer-hood-salon-hairdresser-floor.html?ff=4&fp=720&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/4/_/4_99_43.jpg","http://www.costway.co.uk/media/catalog/product/1/_/1_82_97.jpg","http://www.costway.co.uk/media/catalog/product/7/_/7_62_59.jpg","http://www.costway.co.uk/media/catalog/product/5/_/5_93_47.jpg","http://www.costway.co.uk/media/catalog/product/4/_/4_99_43.jpg","http://www.costway.co.uk/media/catalog/product/8/_/8_39_53.jpg","http://www.costway.co.uk/media/catalog/product/2/_/2_101_85.jpg","http://www.costway.co.uk/media/catalog/product/9/_/9_21_90.jpg","0"
"GT2980","GT2980","87150934","Heavy Duty Rolling Grass Lawn Garden Aerator","29.95","Colour: Green &amp; Silver Material: Galvanized Pipe, PP Plastic Length: 126 cm Width:45 cm Height:21 cm Net weight: 3.5 kg Gross weight: 4 kg Box Qty:1(May vary by batch)Is Assembly Required: Yes","This heavy duty green rolling garden lawn aerator roller will be loved by the gardening people. The easy-rolling lawn aerator lets air, water and nutrients reach grass roots for a greener, more beautiful lawn. It uses a fast and efficient way to keep your lawn aerated. Sturdy wheels roll easily over any turf, and its metal spikes aerate the lawn deeply and completely breathes new life into your lawn. It has no harmful and expensive chemicals complete with 3 piece tubular steel handle. Besides, it can be easy assemble. Don't hesitate to buy it! Metal zinc coated roller with aluminium handle PP wheel Easy-rolling lawn roller lets air, water and nutrients reach grass roots Loosens soil in the garden Ensures new life to your garden without the usage of harmful and expensive chemicals Special galvanized metal ensures that the roller does not easily rust Green PP wheels","Outdoor > Garden > Garden Tools > Lawn Care Tools","305","1","0","0","1","https://www.costway.co.uk/heavy-duty-rolling-grass-lawn-garden-aerator-steel-spike-roller-aluminum-handle.html?ff=4&fp=773&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/5/_/5_93_69.jpg","http://www.costway.co.uk/media/catalog/product/4/_/4_99_63.jpg","http://www.costway.co.uk/media/catalog/product/5/_/5_93_69.jpg","http://www.costway.co.uk/media/catalog/product/6/_/6_82_13.jpg","http://www.costway.co.uk/media/catalog/product/0/_/0_1_4.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2980_1.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2980_4.jpg","http://www.costway.co.uk/media/catalog/product/g/t/gt2980_3.jpg","0"
"HW53986","HW53986","73189260","Adjustable Winged Clothes Airer Horses Indoor Laundry Rack Folding Washing Dryer","42.95","Material: Coating steel &amp; plastic Dimension: Length: 130-137 cm Wide: 56 cm Height: 98-124 cm Distance between 2 bars(top): 9 cm Distance between 2 bars(middle): 7 cm Pole diameter: 8 mm Load capacity: 12 kg Box Qty:1(May vary by batch)","Still bothering about insufficient clothes drying? Then our brand new foldable drying rack is your best choice! 2-layer design gives you ample space for clothes store, while 19 hanging rails give you sufficient space for hanging all your clothes. Moreover, there are 4 shoe rack at the bottom, which allows you dry your shoes as well. Adjustable design makes clothes drying much more efficient, because you can adjust the rack angle and position. Also, it’s ideal for both large room and small room. Sturdy construction enables a great load capacity up to 12 kg, while the non-slip feet stand firmly indoors and outdoors. The lightweight saves your labor in movement, and foldable design simplifies the storage. The whole setup process is straightforward and you can complete it within seconds. Lastly, the rustproof surface is easy to clean, effectively extending the serving cycle. Your Drying and Storage Helper: 2-layer design gives you ample space for storage, meanwhile 19 hanging rails provide you with sufficient space for hanging all your clothes. Moreover, there are 4 shoe racks at the bottom, which allows you to dry your shoes as well. Adjustable and Convenient Design: This hanging rack enables easy adjustment, and you can freely adjust the rack angle and position on specific occasions. Easy adjustment makes this hanging rack practical in both large room and small room. Sturdy Construction and Stability: Solid material together with sturdy construction offers the hanging rack a great load capacity up to 12 kg. Also, this drying rack will stand firmly in your room, and the non-slip feet add extra stability in outdoor use. Easy Storage and Portability: The light weight makes the movement much easier, while the foldable design saves your space for storage and carriage. Indoor or outdoor, the strong practicality and great portability will largely facilitate your clothes drying. Simple Setup and Durability: The setup is so easy that you can complete it within seconds. In addition, the application of stainless steel effectively extends the serving cycle, and the rustproof surface is very easy to clean as well.","Bath > Towel Racks & Drying Racks","161","1","0","0","0","https://www.costway.co.uk/adjustable-winged-clothes-airer-horses-indoor-laundry-rack-folding-washing-dryer.html?ff=4&fp=823&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/h/w/hw53986.jpg_4_.jpg","http://www.costway.co.uk/media/catalog/product/1/_/1_82_145.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw53986.jpg_13_.jpg","http://www.costway.co.uk/media/catalog/product/7/_/7_62_101.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw53986.jpg_5_.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw53986.jpg.jpg","http://www.costway.co.uk/media/catalog/product/6/_/6_82_38.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw53986.jpg_4_.jpg","0"
"HW52973BE","HW52973","90175682","Wooden Orthopaedic Kneeling Stool Ergonomic Posture Frame Seat-beige","61.95","Colour: Beige / Black / Grey Material: Polyacrylic fabric + wood Finish: Natural wood Dimension: 46 x 59 x 62 cm (L x W x H) Height adjustable from: 500 mm to 730 mm Weight capacity: 120 kg Box Qty:1(May vary by batch)Package include:&nbsp; 1 x Wooden kneeling stool 1 x Instruction manual","This ergonomic kneeling chair is perfect to reduce the impact of sustained sitting and helps to alleviate aches and pains.This kneeling stool features a wooden frame which makes it stable and sturdy. It has a thickly padded seat and knee mat which offers comfort and support to the contours of your back and legs. The ergonomic structure of the stool puts focus spread from the buttocks to the knees and reduces pain of your spine. In addition, it allows your diaphragm to move efficiently and promotes better breathing and blood circulation. The height is adjustable and the four casters make it move easily on the floor. Comfortable Padded Seat: Contain with a padded seat which is very comfortable for you to use. And the ergonomic kneeling chair is also great for your knee rest. This chair encourages a more ergonomic posture and distributes the user's weight across the body more evenly High-Quality Materials: We use polyacrylic fabric and wood as the main materials for the ergonomic kneeling chair. With such great materials, the kneeling chair is available for long time use. Height Adjustment Frame: The ergonomic kneeling chair has special height adjustment design. You can adjust it into a suitable height according to your own needs. And the angle and height can be adjusted for maximum comfort. 4 Dual Rolling Wheel Casters: There are 4 dual rolling wheel casters under the ergonomic kneeling chair. These are very easy to assemble. And the wheels also enable you for easy move. Classic Ergonomic Kneeling Chair: Classic European design with wooden frame would feature unique construction. With this solid material and construction, it can reach high weight capacity of 120 kg and the excellent appearance could bring about popularity in health training to keep off sub-health. Specifications Colour: Beige / Black / Grey Material: Polyacrylic fabric + wood Finish: Natural wood Dimension: 46 x 59 x 62 cm (L x W x H) Height adjustable from: 500 mm to 730 mm Weight capacity: 120 kg Box Qty:1(May vary by batch) Package include: 1 x Wooden Kneeling Stool 1 x Instruction Manual","Furniture > Home Office > Office Chairs","26","1","0","0","1","https://www.costway.co.uk/wooden-chair-kneeling-orthopaedic-stool-ergonomic-posture-frame-seat-health-care-beige.html?ff=4&fp=909&utm_source=Dropship&utm_medium=Dropship&utm_campaign=Dropship","http://www.costway.co.uk/media/catalog/product/7/_/7_62_120_9.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw52973_11_1_1.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw52973_1_1.jpg","http://www.costway.co.uk/media/catalog/product/7/_/7_62_120_9.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw52973_6_1.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw52973_2_1.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw52973_7_1.jpg","http://www.costway.co.uk/media/catalog/product/h/w/hw52973_5_1.jpg","0"
